N,strategy,committed,final,oversold,wasted,correct
8,DELTA,8,12,False,0.0,True
8,strict-CAS,8,12,False,7.0,True
8,escrow,8,12,False,0.0,True
16,DELTA,16,4,False,0.0,True
16,strict-CAS,16,4,False,15.0,True
16,escrow,16,4,False,0.0,True
24,DELTA,24,-4,True,0.0,False
24,strict-CAS,20,0,False,23.0,True
24,escrow,20,0,False,0.0,True
32,DELTA,32,-12,True,0.0,False
32,strict-CAS,20,0,False,31.0,True
32,escrow,20,0,False,0.0,True
48,DELTA,48,-28,True,0.0,False
48,strict-CAS,20,0,False,47.0,True
48,escrow,20,0,False,0.0,True
