sweep,x_name,x_value,strategy,waste_per_task,note
A_concurrency,batch_size,1,OCC,0.0,
A_concurrency,batch_size,1,SCC_2S,1.0,
A_concurrency,batch_size,1,SCC_best,0.0,k*=1
A_concurrency,batch_size,1,CAST,0.0,
A_concurrency,batch_size,2,OCC,0.3,
A_concurrency,batch_size,2,SCC_2S,1.0,
A_concurrency,batch_size,2,SCC_best,0.3,k*=1
A_concurrency,batch_size,2,CAST,0.0038,
A_concurrency,batch_size,4,OCC,0.675,
A_concurrency,batch_size,4,SCC_2S,1.2417,
A_concurrency,batch_size,4,SCC_best,0.675,k*=1
A_concurrency,batch_size,4,CAST,0.012,
A_concurrency,batch_size,8,OCC,0.8333,
A_concurrency,batch_size,8,SCC_2S,1.5833,
A_concurrency,batch_size,8,SCC_best,0.8333,k*=1
A_concurrency,batch_size,8,CAST,0.0182,
A_concurrency,batch_size,16,OCC,0.9042,
A_concurrency,batch_size,16,SCC_2S,1.7771,
A_concurrency,batch_size,16,SCC_best,0.9042,k*=1
A_concurrency,batch_size,16,CAST,0.0238,
