sweep,x_name,x_value,strategy,waste_per_task,note
B_mergeable,p_mergeable,0.0,OCC,0.8125,
B_mergeable,p_mergeable,0.0,SCC_2S,1.5708,
B_mergeable,p_mergeable,0.0,SCC_best,0.8125,k*=1
B_mergeable,p_mergeable,0.0,CAST,0.8125,
B_mergeable,p_mergeable,0.25,OCC,0.8292,
B_mergeable,p_mergeable,0.25,SCC_2S,1.5625,
B_mergeable,p_mergeable,0.25,SCC_best,0.8292,k*=1
B_mergeable,p_mergeable,0.25,CAST,0.5792,
B_mergeable,p_mergeable,0.5,OCC,0.8333,
B_mergeable,p_mergeable,0.5,SCC_2S,1.5625,
B_mergeable,p_mergeable,0.5,SCC_best,0.8333,k*=1
B_mergeable,p_mergeable,0.5,CAST,0.5231,
B_mergeable,p_mergeable,0.75,OCC,0.8333,
B_mergeable,p_mergeable,0.75,SCC_2S,1.5833,
B_mergeable,p_mergeable,0.75,SCC_best,0.8333,k*=1
B_mergeable,p_mergeable,0.75,CAST,0.0182,
B_mergeable,p_mergeable,1.0,OCC,0.8333,
B_mergeable,p_mergeable,1.0,SCC_2S,1.5833,
B_mergeable,p_mergeable,1.0,SCC_best,0.8333,k*=1
B_mergeable,p_mergeable,1.0,CAST,0.0182,
