sweep,x_name,x_value,strategy,waste_per_task,note
C_asymmetry,c_merge,1.0,OCC,0.8333,
C_asymmetry,c_merge,1.0,SCC_2S,1.5833,
C_asymmetry,c_merge,1.0,SCC_best,0.8333,k*=1
C_asymmetry,c_merge,1.0,CAST,1.825,
C_asymmetry,c_merge,0.5,OCC,0.8333,
C_asymmetry,c_merge,0.5,SCC_2S,1.5833,
C_asymmetry,c_merge,0.5,SCC_best,0.8333,k*=1
C_asymmetry,c_merge,0.5,CAST,0.9125,
C_asymmetry,c_merge,0.1,OCC,0.8333,
C_asymmetry,c_merge,0.1,SCC_2S,1.5833,
C_asymmetry,c_merge,0.1,SCC_best,0.8333,k*=1
C_asymmetry,c_merge,0.1,CAST,0.1825,
C_asymmetry,c_merge,0.01,OCC,0.8333,
C_asymmetry,c_merge,0.01,SCC_2S,1.5833,
C_asymmetry,c_merge,0.01,SCC_best,0.8333,k*=1
C_asymmetry,c_merge,0.01,CAST,0.0182,
C_asymmetry,c_merge,0.001,OCC,0.8333,
C_asymmetry,c_merge,0.001,SCC_2S,1.5833,
C_asymmetry,c_merge,0.001,SCC_best,0.8333,k*=1
C_asymmetry,c_merge,0.001,CAST,0.0018,
