sweep,x_name,x_value,strategy,wasted,total_compute,regen,merge,reselect,gen,commit_rate
A_concurrency,batch_size,1,OCC,0.0,30.0,0,0,0,30,1.0
A_concurrency,batch_size,1,CAST,0.0,30.0,0,0,0,30,1.0
A_concurrency,batch_size,2,OCC,24.0,84.0,24,0,0,60,1.0
A_concurrency,batch_size,2,CAST,0.31,60.31,0,31,0,60,1.0
A_concurrency,batch_size,4,OCC,84.0,204.0,84,0,0,120,1.0
A_concurrency,batch_size,4,CAST,1.32,121.32,0,132,0,120,1.0
A_concurrency,batch_size,8,OCC,199.0,439.0,199,0,0,240,1.0
A_concurrency,batch_size,8,CAST,4.39,244.39,0,439,0,240,1.0
A_concurrency,batch_size,16,OCC,434.0,914.0,434,0,0,480,1.0
A_concurrency,batch_size,16,CAST,11.4,491.4,0,1140,0,480,1.0
