sweep,x_name,x_value,strategy,wasted,total_compute,regen,merge,reselect,gen,commit_rate
C_asymmetry,c_merge,1.0,OCC,199.0,439.0,199,0,0,240,1.0
C_asymmetry,c_merge,1.0,CAST,439.0,679.0,0,439,0,240,1.0
C_asymmetry,c_merge,0.5,OCC,199.0,439.0,199,0,0,240,1.0
C_asymmetry,c_merge,0.5,CAST,219.5,459.5,0,439,0,240,1.0
C_asymmetry,c_merge,0.1,OCC,199.0,439.0,199,0,0,240,1.0
C_asymmetry,c_merge,0.1,CAST,43.9,283.9,0,439,0,240,1.0
C_asymmetry,c_merge,0.01,OCC,199.0,439.0,199,0,0,240,1.0
C_asymmetry,c_merge,0.01,CAST,4.39,244.39,0,439,0,240,1.0
C_asymmetry,c_merge,0.001,OCC,199.0,439.0,199,0,0,240,1.0
C_asymmetry,c_merge,0.001,CAST,0.439,240.439,0,439,0,240,1.0
