experiment_mix,agent_ratio,workload,level,clients,agent_workers,background_workers,cc,runs,agent_tps_mean,agent_tps_speedup_vs_occ,agent_commit_rate_mean,agent_commit_rate_ratio_vs_occ,agent_task_completion_rate_mean,agent_p95_latency_ms_mean,agent_p99_latency_ms_mean,agent_p9999_latency_ms_mean,agent_avg_retry_count_mean,agent_avg_tokens_mean,agent_total_tokens_mean,wasted_reasoning_ms_mean,background_tps_mean,background_tps_ratio_vs_occ,total_tps_mean,total_tps_speedup_vs_occ,reservation_waiter_count_mean,reservation_unique_target_count_mean,reservation_front_queue_wait_ms_mean,reserve_read_write_set_attempts_mean,reserve_hot_rw_k_attempts_mean,duration_s,reasoning_profile,reasoning_scale,workload_profile,background_mode,retry_until_commit,max_attempts_per_task,policy,policy_mode,tokens_per_operation,seeds,client_counts,agent_abort_rate_mean,agent_aborts_mean,agent_attempt_abort_rate_mean,agent_commit_rate_delta_vs_occ,agent_commit_rate_std,agent_p50_latency_ms_mean,agent_task_guard_wait_ms_max_mean,agent_task_guard_wait_ms_mean_mean,agent_task_guard_wait_ms_p50_mean,agent_task_guard_wait_ms_p95_mean,agent_task_guard_wait_ms_p99_mean,agent_task_tps_mean,agent_tps_std,atcc_agent_guardrail,atcc_agent_guardrail_queue_threshold,atcc_bp_background_threshold,atcc_bp_min_windows,atcc_bp_queue_pressure_threshold,atcc_full_reservation_fallback_ratio,atcc_hot_rw_k,atcc_pure_policy,background_aborts_mean,background_admission_cap,background_tps_std,background_writer_reservation_blocked_checks_mean,background_writer_waiter_blocked_checks_mean,background_writer_waiter_blocked_targets_mean,reservation_all_or_nothing_failed_grant_checks_mean,reservation_all_or_nothing_not_front_wait_ms_mean,reservation_blocked_target_checks_mean,reservation_owner_blocked_checks_mean,reservation_waiter_target_set_size_max_mean,reservation_waiter_target_set_size_mean_mean,reservation_waiter_target_set_size_p50_mean,reservation_waiter_target_set_size_p95_mean,reservation_waiter_target_set_size_p99_mean,reservation_writer_blocked_checks_mean,reserve_hot_rw_k_target_size_max_mean,reserve_hot_rw_k_target_size_mean_mean,reserve_hot_rw_k_target_size_p50_mean,reserve_hot_rw_k_target_size_p95_mean,reserve_hot_rw_k_target_size_p99_mean,reserve_hot_rw_k_unique_target_count_mean,reserve_read_write_set_hot_coverage_ratio_mean_mean,reserve_read_write_set_hot_target_count_max_mean,reserve_read_write_set_hot_target_count_mean_mean,reserve_read_write_set_hot_target_count_p50_mean,reserve_read_write_set_hot_target_count_p95_mean,reserve_read_write_set_hot_target_count_p99_mean,reserve_read_write_set_target_size_max_mean,reserve_read_write_set_target_size_mean_mean,reserve_read_write_set_target_size_p50_mean,reserve_read_write_set_target_size_p95_mean,reserve_read_write_set_target_size_p99_mean,reserve_read_write_set_unique_hot_target_count_mean,reserve_read_write_set_unique_target_count_mean,total_tps_std
80_20_agent_backend,0.8,tpcc,low,8,6,2,occ,1,942.3620981188022,1.0,0.9556650246305419,1.0,1.0,11.160843549998836,17.250508280014277,25.394054776101274,0.04639175257731959,23312.405436284407,4522606.654639175,4.0,1316.3924154133783,1.0,2258.7545135321807,1.0,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.04639175257731959,9.0,0.04433497536945813,0.0,0.0,5.94826400001125,0.0,0.0,0.0,0.0,0.0,942.3620981188022,0.0,False,1,6,3,2,0.0,3,False,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,8,6,2,2pl-nowait,1,937.1989772376542,0.9945210860119958,0.979381443298969,1.024816664895313,1.0,12.526424599995767,15.267913239989923,15.384708497895991,0.021052631578947368,22921.739501385044,4355130.505263158,3.0,1612.9687660879629,1.225294788394426,2550.167743325617,1.129015007185412,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.021052631578947368,4.0,0.020618556701030927,0.02371641866842711,0.0,5.857836000004113,0.09353499999065207,0.024599131578677196,0.023439499983624046,0.04165629999732799,0.08428608000912162,937.1989772376542,0.0,False,1,6,3,2,0.0,3,False,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,8,6,2,2pl-wait-die,1,1050.4575260460745,1.1147068925448707,0.9773755656108597,1.0227177310257964,1.0,9.362746000014965,12.595232150000868,13.256908975999831,0.023148148148148147,23046.41203703704,4978025.000000001,3.0,1527.053996196608,1.1600294701767004,2577.5115222426825,1.1411206958528832,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.023148148148148147,5.0,0.02262443438914027,0.021710540980317772,0.0,5.54892850000499,0.06222400000410744,0.02253687036957575,0.022511000011604665,0.04168074998034399,0.054702499997461004,1050.4575260460745,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,8,6,2,mvcc,1,1044.6872617926156,1.108583700339902,0.9818181818181818,1.0273664479850046,1.0,10.761845500006473,16.158524550016296,19.609253326508078,0.018518518518518517,22942.12962962963,4955500.0,3.0,1963.625130962046,1.4916715623474792,3008.3123927546617,1.331845658628189,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.018518518518518517,4.0,0.01818181818181818,0.026153157187639886,0.0,5.160642999996412,0.0,0.0,0.0,0.0,0.0,1044.6872617926156,0.0,False,1,6,3,2,0.0,3,False,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,8,6,2,silo,1,1016.383247709373,1.0785485215697195,0.9674418604651163,1.0123231838887556,1.0,10.236188249997724,16.567962289977636,24.477724578814467,0.03365384615384615,23251.71031342456,4836355.745192308,5.0,1402.4134235220677,1.0653460222814157,2418.7966712314405,1.0708541617694392,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.03365384615384615,7.0,0.03255813953488372,0.01177683583457434,0.0,5.371460500001035,0.0,0.0,0.0,0.0,0.0,1016.383247709373,0.0,False,1,6,3,2,0.0,3,False,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,8,6,2,tictoc,1,962.8251357847303,1.0217146229743084,0.985,1.0306958762886598,1.0,11.097677799989457,21.672007200007776,32.08308721560947,0.015228426395939087,22775.155247494138,4486705.583756345,4.0,1720.377907595051,1.3068883468572794,2683.2030433797813,1.1879126426996527,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.015228426395939087,3.0,0.015,0.02933497536945806,0.0,5.459445999974832,0.0,0.0,0.0,0.0,0.0,962.8251357847303,0.0,False,1,6,3,2,0.0,3,False,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,8,6,2,dynamic-atcc,1,1085.0547168410085,1.1514201589888404,0.9866666666666667,1.0324398625429554,1.0,9.895972349977455,12.577714089992172,18.4623408416899,0.013513513513513514,22767.69083272462,5054427.364864865,2.0,1622.6944414018685,1.2326829161290056,2707.749158242877,1.1987797443328936,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.013513513513513514,3.0,0.013333333333333334,0.031001642036124766,0.0,5.1657135000198195,0.0,0.0,0.0,0.0,0.0,1085.0547168410085,0.0,False,1,6,3,2,0.0,3,False,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,16,13,3,occ,1,1602.4314997225406,1.0,0.9596541786743515,1.0,1.0,14.111514000001073,18.92213331999416,24.18238134638658,0.042042042042042045,22380.866325785242,7452828.486486485,14.0,808.4339097699304,1.0,2410.865409492471,1.0,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.042042042042042045,14.0,0.040345821325648415,0.0,0.0,7.421514000014895,0.0,0.0,0.0,0.0,0.0,1602.4314997225406,0.0,False,1,6,3,2,0.0,3,False,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,16,13,3,2pl-nowait,1,1427.6819592834963,0.8909472632875091,0.9164086687306502,0.954936360509116,1.0,17.066258000014045,23.23339719999355,27.12561622749298,0.09121621621621621,23287.553106738495,6893115.719594594,19.0,819.9524766155215,1.0142480006174768,2247.6344358990177,0.9322936183203125,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.09121621621621621,27.0,0.08359133126934984,-0.043245509943701355,0.0,8.018399500002715,0.153753000006418,0.025493314188887676,0.023560000002476045,0.048958000014920344,0.10780739999916027,1427.6819592834963,0.0,False,1,6,3,2,0.0,3,False,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80_20_agent_backend,0.8,tpcc,low,16,13,3,2pl-wait-die,1,1443.2520860484897,0.9006638263778435,0.945859872611465,0.9856257531416768,1.0,16.842188599986223,26.689196119995145,32.96374529680246,0.05723905723905724,22861.737373737375,6789936.0,8.0,879.5576686019415,1.0879772087396136,2322.8097546504314,0.9634754995051438,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.05723905723905724,17.0,0.054140127388535034,-0.013794306062886563,0.0,8.27383099999679,0.14507299999877432,0.02434415488398436,0.022814999994125174,0.04348440001535891,0.07811328001594156,1443.2520860484897,0.0,False,1,6,3,2,0.0,3,False,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
