comparison,note,profile,throughput_ratio,workload_kind
op-dynamic-priority_vs_op-static,,high,1.0156747244424504,tpcc
op-dynamic-priority_vs_op-static-priority,,high,0.9885314913087118,tpcc
op-dynamic-priority_vs_op-dynamic,,high,0.9978009615564803,tpcc
tx-dynamic-priority_vs_tx-static,,high,1.1664118807613753,tpcc
tx-dynamic-priority_vs_tx-static-priority,,high,1.0828800735315485,tpcc
tx-dynamic-priority_vs_tx-dynamic,,high,1.0888813965996837,tpcc
tx-dynamic-priority_vs_op-dynamic-priority,,high,1.2026667052390911,tpcc
op-dynamic-priority_vs_op-static,,low,1.234776055752101,tpcc
op-dynamic-priority_vs_op-static-priority,,low,1.2434279462449742,tpcc
op-dynamic-priority_vs_op-dynamic,,low,0.890364870470982,tpcc
tx-dynamic-priority_vs_tx-static,,low,1.0563367245064978,tpcc
tx-dynamic-priority_vs_tx-static-priority,,low,1.0835974978345935,tpcc
tx-dynamic-priority_vs_tx-dynamic,,low,1.0156538899359286,tpcc
tx-dynamic-priority_vs_op-dynamic-priority,,low,1.028105595312946,tpcc
op-dynamic-priority_vs_op-static,,medium,0.8088177939285739,tpcc
op-dynamic-priority_vs_op-static-priority,,medium,0.8421033883464714,tpcc
op-dynamic-priority_vs_op-dynamic,,medium,0.7999696674273236,tpcc
tx-dynamic-priority_vs_tx-static,,medium,1.106645066460018,tpcc
tx-dynamic-priority_vs_tx-static-priority,,medium,1.134182867334716,tpcc
tx-dynamic-priority_vs_tx-dynamic,,medium,1.0376897173410955,tpcc
tx-dynamic-priority_vs_op-dynamic-priority,,medium,1.05753695813972,tpcc
op-dynamic-priority_vs_op-static,,high,1.1523389207045558,ycsb
op-dynamic-priority_vs_op-static-priority,,high,1.1928309331605345,ycsb
op-dynamic-priority_vs_op-dynamic,,high,1.0063114039740517,ycsb
tx-dynamic-priority_vs_tx-static,,high,1.027253205426396,ycsb
tx-dynamic-priority_vs_tx-static-priority,,high,1.0488673090185467,ycsb
tx-dynamic-priority_vs_tx-dynamic,,high,1.0928032163512624,ycsb
tx-dynamic-priority_vs_op-dynamic-priority,,high,0.9133095669281385,ycsb
op-dynamic-priority_vs_op-static,,low,0.9079522150449613,ycsb
op-dynamic-priority_vs_op-static-priority,,low,1.1248886407374237,ycsb
op-dynamic-priority_vs_op-dynamic,,low,1.0259096994072445,ycsb
tx-dynamic-priority_vs_tx-static,,low,1.022395154346148,ycsb
tx-dynamic-priority_vs_tx-static-priority,,low,1.1954310450218666,ycsb
tx-dynamic-priority_vs_tx-dynamic,,low,1.0436966840041535,ycsb
tx-dynamic-priority_vs_op-dynamic-priority,,low,0.9229536109169173,ycsb
op-dynamic-priority_vs_op-static,,medium,1.0659160317877285,ycsb
op-dynamic-priority_vs_op-static-priority,,medium,1.0909180461155448,ycsb
op-dynamic-priority_vs_op-dynamic,,medium,1.0638216566119125,ycsb
tx-dynamic-priority_vs_tx-static,,medium,0.9702752900639171,ycsb
tx-dynamic-priority_vs_tx-static-priority,,medium,1.0112328437493625,ycsb
tx-dynamic-priority_vs_tx-dynamic,,medium,1.0536359562412037,ycsb
tx-dynamic-priority_vs_op-dynamic-priority,,medium,0.9177187662673169,ycsb
