profile,strategy,policy_variant,throughput,commit_rate,committed_tasks,failed_tasks,attempts_per_task,wasted_tokens_per_task,p50_latency_s,p95_latency_s,p99_latency_s,conflict_aborts,lease_refresh_regenerations,lease_refresh_replayed_operations,lease_refresh_replayed_operations_per_task,lease_refresh_rebased_writes,lease_refresh_rebased_writes_per_task,background_commits,background_aborts,operation_policy_counts,operation_rule_counts,selected_strategy_counts
tpcc-high,2pl-nowait,default,0.264632377526708,0.05,2,38,7.8,1843446.0,2.4074538264999887,6.500503937250004,7.120048106980025,310,0,0,0.0,0,0.0,1587,149,{},{},"{""2pl-nowait"": 40}"
tpcc-high,2pl-wait-die,default,0.25972795568492063,0.05,2,38,7.95,1879125.6,2.4004487815000743,7.366444688849946,7.444754516880025,316,0,0,0.0,0,0.0,2023,114,{},{},"{""2pl-wait-die"": 40}"
tpcc-high,adaptive-hybrid,default,23.929682608512316,1.0,40,0,1.1,404368.8,0.5911275845000432,1.1543187996000592,1.3547372915100186,4,44,5632,140.8,0,0.0,203,85,"{""optimistic"": 3050, ""pessimistic"": 58}","{""feedback-conflict-risk-pessimistic"": 14, ""feedback-lock-cost-optimistic"": 2030, ""tpcc-commutative-delta-optimistic-prior"": 1020, ""tpcc-order-counter-risk-prior"": 44}","{""adaptive-op-strict"": 40}"
tpcc-high,adaptive-op-strict,default,3.7407111863861084,1.0,40,0,1.0,345984.0,3.594108874499966,10.274870635200001,10.301321071100016,0,40,5120,128.0,0,0.0,3969,125,"{""optimistic"": 2790, ""pessimistic"": 40}","{""feedback-lock-cost-optimistic"": 1891, ""tpcc-commutative-delta-optimistic-prior"": 899, ""tpcc-order-counter-risk-prior"": 40}","{""adaptive-op-strict"": 40}"
tpcc-high,mvcc-full,default,0.12847490202801104,0.025,1,39,7.875,1867232.4,2.2833008610000434,6.9570949533999675,7.326853019819984,314,0,0,0.0,0,0.0,1619,146,{},{},"{""mvcc-full"": 40}"
tpcc-high,occ,default,0.9775259792937279,0.2,8,32,7.5,1736407.2,2.330111446499984,6.899502149900029,7.527697124579976,292,0,0,0.0,0,0.0,1559,107,{},{},"{""occ"": 40}"
tpcc-high,silo-full,default,0.5470025613904762,0.125,5,35,7.5,1754247.0,2.643241587499915,8.114505542100044,8.616641333190008,295,0,0,0.0,0,0.0,1300,210,{},{},"{""silo-full"": 40}"
tpcc-high,tictoc-full,default,0.5806368796927365,0.125,5,35,7.8,1825606.2,3.0746428854999976,8.05864029464995,8.287598613470042,307,0,0,0.0,0,0.0,1558,199,{},{},"{""tictoc-full"": 40}"
tpcc-low,2pl-nowait,default,3.8825865400903194,1.0,40,0,1.15,19461.6,3.468697486999986,9.42119069565009,9.545361850970021,6,0,0,0.0,0,0.0,72,0,{},{},"{""2pl-nowait"": 40}"
tpcc-low,2pl-wait-die,default,3.790672765700712,1.0,40,0,1.2,25948.8,4.365401782500044,9.635702213299954,9.760269395089985,8,0,0,0.0,0,0.0,72,0,{},{},"{""2pl-wait-die"": 40}"
