profile,strategy,policy_variant,throughput,commit_rate,committed_tasks,failed_tasks,attempts_per_task,wasted_tokens_per_task,p50_latency_s,p95_latency_s,p99_latency_s,conflict_aborts,lease_refresh_regenerations,lease_refresh_replayed_operations,lease_refresh_replayed_operations_per_task,lease_refresh_rebased_writes,lease_refresh_rebased_writes_per_task,background_commits,background_aborts,operation_policy_counts,operation_rule_counts,selected_strategy_counts
ycsb-high,2pl-nowait,ycsb-strict-tuned,1.8911201440432446,0.325,13,27,6.75,521003.25,2.2180820235000027,6.091712929399999,6.338775669789996,257,0,0,0.0,0,0.0,1677,0,{},{},"{""2pl-nowait"": 40}"
ycsb-high,2pl-wait-die,ycsb-strict-tuned,2.0390482671836625,0.35,14,26,6.725,516948.75,1.9520870334999927,6.089716496199995,6.476345523119996,255,0,0,0.0,0,0.0,1704,0,{},{},"{""2pl-wait-die"": 40}"
ycsb-high,adaptive-hybrid,ycsb-strict-tuned,35.569717709800784,1.0,40,0,1.0,0.0,0.30671768149997547,0.8657288460999808,0.9278108715899932,0,40,0,0.0,184,4.6,195,1,"{""optimistic"": 339, ""pessimistic"": 61}","{""phase-atcc-commit-lock-hot-writes"": 84, ""phase-atcc-commit-occ"": 316}","{""adaptive-op-strict"": 40}"
ycsb-high,adaptive-op-strict,ycsb-strict-tuned,24.972975198335376,1.0,40,0,1.0,0.0,0.32476703899999393,1.0066584144999795,1.0194459928299944,0,40,0,0.0,184,4.6,315,0,"{""optimistic"": 339, ""pessimistic"": 61}","{""phase-atcc-commit-lock-hot-writes"": 85, ""phase-atcc-commit-occ"": 315}","{""adaptive-op-strict"": 40}"
ycsb-high,mvcc-full,ycsb-strict-tuned,20.13854798417788,1.0,40,0,1.475,38517.75,0.49682870799999534,1.1920123214499987,1.220376259740002,19,0,0,0.0,0,0.0,427,0,{},{},"{""mvcc-full"": 40}"
ycsb-high,occ,ycsb-strict-tuned,6.112505272156985,0.725,29,11,4.725,324360.0,1.0129258249999964,3.565999043400005,3.988296135099999,160,0,0,0.0,0,0.0,976,0,{},{},"{""occ"": 40}"
ycsb-high,silo-full,ycsb-strict-tuned,3.0919879568415802,0.45,18,22,5.6,417613.5,2.288755286499999,5.541041712249995,5.629416344350003,206,0,0,0.0,0,0.0,1222,0,{},{},"{""silo-full"": 40}"
ycsb-high,tictoc-full,ycsb-strict-tuned,26.196564685328553,1.0,40,0,1.125,10136.25,0.528300385999998,1.2286651804999975,1.3090338198799945,5,0,0,0.0,0,0.0,165,0,{},{},"{""tictoc-full"": 40}"
ycsb-low,2pl-nowait,ycsb-strict-tuned,11.63349277801057,1.0,40,0,1.15,12163.5,1.0311256790000023,2.9320425589999983,2.9793147466399987,6,0,0,0.0,0,0.0,82,2,{},{},"{""2pl-nowait"": 40}"
ycsb-low,2pl-wait-die,ycsb-strict-tuned,11.341104491946984,1.0,40,0,1.15,12163.5,0.8865084674999935,2.753289841949992,2.8912705777899976,6,0,0,0.0,0,0.0,86,1,{},{},"{""2pl-wait-die"": 40}"
