profile,strategy,official_throughput,current_best,best_source,best_ratio,current_mean,mean_ratio,n,observations
tpcc-high,adaptive-op-strict,14.726042366299215,22.131038923839462,repeat2,1.5028504178751176,15.727824503935457,1.0680279271726691,3,corrected=11.373;repeat1=13.680;repeat2=22.131
tpcc-high,transaction-atcc-strict,40.60863787879382,42.37226567135313,repeat2,1.0434298682419063,41.88646972875074,1.0314669961048906,3,corrected=41.883;repeat1=41.404;repeat2=42.372
tpcc-low,adaptive-op-strict,3.8849398086520535,4.027650269390671,corrected,1.0367342784618672,3.841616455538387,0.9888483849821349,4,corrected=4.028;repeat1=3.761;repeat2=3.798;repeat3=3.780
tpcc-low,transaction-atcc-strict,4.13436970438662,4.051671129655682,repeat3,0.9799972956837428,3.940049948987829,0.9529989407593097,4,corrected=3.708;repeat1=4.048;repeat2=3.953;repeat3=4.052
tpcc-medium,adaptive-op-strict,26.010958934617264,28.986180089833066,corrected,1.114383370589854,28.986180089833066,1.114383370589854,1,corrected=28.986
tpcc-medium,transaction-atcc-strict,23.24243368980459,25.454920518143272,corrected,1.0951917022918818,25.454920518143272,1.0951917022918818,1,corrected=25.455
ycsb-high,adaptive-op-strict,51.50589347387173,52.211206282297816,repeat1,1.0136938272662697,51.342250612465016,0.9968228322941388,2,corrected=50.473;repeat1=52.211
ycsb-high,transaction-atcc-strict,50.49987103763761,51.392983652222576,corrected,1.0176854434721097,50.29318237140528,0.995907144672146,2,corrected=51.393;repeat1=49.193
ycsb-low,adaptive-op-strict,26.14694848961025,26.1925119005645,corrected,1.0017425899994548,26.1925119005645,1.0017425899994548,1,corrected=26.193
ycsb-low,transaction-atcc-strict,24.012330139427963,25.878452814775358,corrected,1.0777151848451076,25.878452814775358,1.0777151848451076,1,corrected=25.878
ycsb-medium,adaptive-op-strict,35.26082717416539,39.68447855277683,repeat1,1.1254551221036733,37.506584594592624,1.0636898677769147,4,corrected=34.656;repeat1=39.684;repeat2=37.939;repeat3=37.747
ycsb-medium,transaction-atcc-strict,36.3987886813144,35.52425564440254,repeat1,0.975973567566527,35.00019740056193,0.9615758839394991,4,corrected=35.269;repeat1=35.524;repeat2=34.303;repeat3=34.904
