profile,strategy,policy_variant,throughput,commit_rate,committed_tasks,failed_tasks,attempts_per_task,wasted_tokens_per_task,p50_latency_s,p95_latency_s,p99_latency_s,conflict_aborts,lease_refresh_regenerations,lease_refresh_replayed_operations,lease_refresh_replayed_operations_per_task,lease_refresh_rebased_writes,lease_refresh_rebased_writes_per_task,background_commits,background_aborts,operation_policy_counts,operation_rule_counts,selected_strategy_counts
tpcc-high,2pl-nowait,default,0.0,0.0,0,60,8.0,1427184.0,0.6141295904999993,8.068813607949963,8.41030096083001,480,0,0,0.0,0,0.0,4824,25,{},{},"{""2pl-nowait"": 60}"
tpcc-high,2pl-wait-die,default,0.0,0.0,0,60,8.0,1427184.0,0.6503843615000164,8.860255405250005,9.202036603930004,480,0,0,0.0,0,0.0,5339,30,{},{},"{""2pl-wait-die"": 60}"
tpcc-high,adaptive-op-strict,default,11.372843169127828,1.0,60,0,1.0,259488.0,0.3960941540000249,4.878840922149973,5.060413831459995,0,60,5760,96.0,0,0.0,2961,126,"{""optimistic"": 3332, ""pessimistic"": 60}","{""feedback-lock-cost-optimistic"": 2423, ""tpcc-commutative-delta-optimistic-prior"": 909, ""tpcc-order-counter-risk-prior"": 60}","{""adaptive-op-strict"": 60}"
tpcc-high,mvcc-full,default,0.0,0.0,0,60,8.0,1427184.0,0.5962046949999831,8.11883335439997,8.572879884519994,480,0,0,0.0,0,0.0,5057,27,{},{},"{""mvcc-full"": 60}"
tpcc-high,occ,default,0.0,0.0,0,60,8.0,1427184.0,0.6046785439999667,8.41923709300004,8.709694238140013,480,0,0,0.0,0,0.0,5144,19,{},{},"{""occ"": 60}"
tpcc-high,silo-full,default,0.0,0.0,0,60,8.0,1427184.0,0.6365055384999891,8.709091967799965,9.056703215639999,480,0,0,0.0,0,0.0,5103,38,{},{},"{""silo-full"": 60}"
tpcc-high,tictoc-full,default,0.0,0.0,0,60,8.0,1427184.0,0.6125214365000033,8.602954526950006,8.93076104687001,480,0,0,0.0,0,0.0,5041,26,{},{},"{""tictoc-full"": 60}"
tpcc-high,transaction-atcc-strict,default,41.88301805007195,1.0,60,0,1.0,259488.0,0.11751115600003459,1.219424608600053,1.245381469829982,0,60,5760,96.0,0,0.0,636,39,"{""optimistic"": 3332, ""pessimistic"": 60}","{""transaction-atcc-lock-hot-writes"": 3392}","{""transaction-atcc-strict"": 60}"
tpcc-low,2pl-nowait,default,4.6628795761786135,1.0,60,0,1.2166666666666666,21083.4,0.8213354709999976,11.259404773899979,12.076922567189978,13,0,0,0.0,0,0.0,109,0,{},{},"{""2pl-nowait"": 60}"
tpcc-low,2pl-wait-die,default,5.189977123997708,1.0,60,0,1.15,14596.2,0.7444725265000045,10.49762203974999,10.90515586178999,9,0,0,0.0,0,0.0,99,0,{},{},"{""2pl-wait-die"": 60}"
tpcc-low,adaptive-op-strict,default,4.027650269390671,1.0,60,0,1.0,128662.8,1.0075320139999917,13.792568382450002,14.359817601880007,0,56,2856,47.6,0,0.0,95,3,"{""optimistic"": 1850, ""pessimistic"": 56}","{""prelock-budget-fallback-optimistic"": 4, ""tpcc-commutative-delta-optimistic-prior"": 1846, ""tpcc-order-counter-risk-prior"": 56}","{""adaptive-op-strict"": 60}"
tpcc-low,mvcc-full,default,6.051890807843822,1.0,60,0,1.0666666666666667,6487.2,0.7016479015000101,8.96501875840001,9.272371813589992,4,0,0,0.0,0,0.0,82,0,{},{},"{""mvcc-full"": 60}"
tpcc-low,occ,default,6.673360365209827,1.0,60,0,1.0166666666666666,1621.8,0.5799247095000055,7.95905220640001,8.28294165091,1,0,0,0.0,0,0.0,72,0,{},{},"{""occ"": 60}"
tpcc-low,silo-full,default,4.774178091631301,1.0,60,0,1.1,9730.8,0.7794809435000047,10.712053734799998,11.544580685269999,6,0,0,0.0,0,0.0,110,5,{},{},"{""silo-full"": 60}"
tpcc-low,tictoc-full,default,5.248929222178535,1.0,60,0,1.0666666666666667,6487.2,0.7783081409999966,10.48792197114997,10.855251417530003,4,0,0,0.0,0,0.0,96,2,{},{},"{""tictoc-full"": 60}"
tpcc-low,transaction-atcc-strict,default,3.707892952801942,1.0,60,0,1.0166666666666666,132582.15,1.0767839869999989,14.897267741699961,15.44179003489997,1,57,2907,48.45,0,0.0,105,2,"{""optimistic"": 1881, ""pessimistic"": 57}","{""prelock-budget-fallback-optimistic"": 2, ""transaction-atcc-lock-hot-writes"": 1872, ""transaction-atcc-occ"": 64}","{""transaction-atcc-strict"": 60}"
tpcc-medium,2pl-nowait,default,4.221764911265353,0.6333333333333333,38,22,5.183333333333334,664127.1,0.8083139215000017,7.516646907500015,8.555911210880009,273,0,0,0.0,0,0.0,1086,17,{},{},"{""2pl-nowait"": 60}"
tpcc-medium,2pl-wait-die,default,5.106691837105779,0.7166666666666667,43,17,4.666666666666667,576549.9,0.8251824160000183,7.452052985900027,7.930494485430008,237,0,0,0.0,0,0.0,1065,20,{},{},"{""2pl-wait-die"": 60}"
tpcc-medium,adaptive-op-strict,default,28.986180089833066,1.0,60,0,1.0,210834.0,0.14110943249997376,1.7678247508000193,1.8954725857300143,0,60,4680,78.0,0,0.0,164,37,"{""optimistic"": 2810, ""pessimistic"": 60}","{""feedback-lock-cost-optimistic"": 359, ""tpcc-commutative-delta-optimistic-prior"": 2451, ""tpcc-order-counter-risk-prior"": 60}","{""adaptive-op-strict"": 60}"
tpcc-medium,mvcc-full,default,5.7097918470830145,0.7333333333333333,44,16,4.683333333333334,576549.9,0.7129576594999776,6.992846183049977,7.381092329830012,237,0,0,0.0,0,0.0,1053,15,{},{},"{""mvcc-full"": 60}"
tpcc-medium,occ,default,7.847726321638429,0.85,51,9,3.966666666666667,454914.9,0.5999986000000206,5.629106628649998,5.944943454400035,187,0,0,0.0,0,0.0,817,17,{},{},"{""occ"": 60}"
tpcc-medium,silo-full,default,6.28280493672297,0.8166666666666667,49,11,4.133333333333334,484107.3,0.6376133919999916,6.542618182999984,7.065173277660003,199,0,0,0.0,0,0.0,1073,39,{},{},"{""silo-full"": 60}"
tpcc-medium,tictoc-full,default,5.637042049164257,0.8,48,12,4.7,569251.8,0.8264416120000249,7.508803590800013,7.857186282250017,234,0,0,0.0,0,0.0,1113,56,{},{},"{""tictoc-full"": 60}"
tpcc-medium,transaction-atcc-strict,default,25.454920518143272,1.0,60,0,1.0666666666666667,220564.8,0.1999446669999827,1.9337133240999747,2.101753915189997,4,63,4680,78.0,0,0.0,224,29,"{""optimistic"": 2858, ""pessimistic"": 60}","{""transaction-atcc-lock-hot-writes"": 2870, ""transaction-atcc-occ"": 48}","{""transaction-atcc-strict"": 60}"
ycsb-high,2pl-nowait,ycsb-strict-tuned,1.1134528062849869,0.15,9,51,7.466666666666667,593308.5,0.5925991109999984,7.511397748100004,7.855689161059992,439,0,0,0.0,0,0.0,3839,0,{},{},"{""2pl-nowait"": 60}"
ycsb-high,2pl-wait-die,ycsb-strict-tuned,0.7112916786261076,0.1,6,54,7.416666666666667,593308.5,0.5966452244999942,7.811455777949997,8.070911334040002,439,0,0,0.0,0,0.0,4095,0,{},{},"{""2pl-wait-die"": 60}"
ycsb-high,adaptive-op-strict,ycsb-strict-tuned,50.473294942632215,1.0,60,0,1.0,0.0,0.07422680700000228,0.9404496320499902,0.9887187246200024,0,60,0,0.0,283,4.716666666666667,571,1,"{""optimistic"": 493, ""pessimistic"": 107}","{""phase-atcc-commit-lock-hot-writes"": 141, ""phase-atcc-commit-occ"": 459}","{""adaptive-op-strict"": 60}"
ycsb-high,mvcc-full,ycsb-strict-tuned,21.576594220820983,0.9833333333333333,59,1,2.183333333333333,97308.0,0.1941506704999938,2.2658449255499744,2.4639260494799924,72,0,0,0.0,0,0.0,1273,0,{},{},"{""mvcc-full"": 60}"
ycsb-high,occ,ycsb-strict-tuned,0.8413982702774996,0.11666666666666667,7,53,7.583333333333333,605472.0,0.568514041499995,7.284027540700009,8.122918073720005,448,0,0,0.0,0,0.0,4243,0,{},{},"{""occ"": 60}"
ycsb-high,silo-full,ycsb-strict-tuned,0.33422008461354263,0.05,3,57,7.733333333333333,623041.5,0.6545794274999963,8.095187776249988,8.683869459370001,461,0,0,0.0,0,0.0,4467,0,{},{},"{""silo-full"": 60}"
ycsb-high,tictoc-full,ycsb-strict-tuned,23.17813771015287,0.9833333333333333,59,1,2.0833333333333335,89199.0,0.16355422699999167,1.7694026745000073,2.293418154420011,66,0,0,0.0,0,0.0,1277,0,{},{},"{""tictoc-full"": 60}"
ycsb-high,transaction-atcc-strict,ycsb-strict-tuned,51.392983652222576,1.0,60,0,1.0,0.0,0.09305114049999474,0.9350995991000076,0.9758554047000105,0,60,0,0.0,283,4.716666666666667,576,0,"{""optimistic"": 389, ""pessimistic"": 211}","{""transaction-atcc-lock-hot-writes"": 600}","{""transaction-atcc-strict"": 60}"
ycsb-low,2pl-nowait,ycsb-strict-tuned,20.9850777567326,1.0,60,0,1.1833333333333333,14866.5,0.20243014049999974,2.3142589180999997,2.4853345825900006,11,0,0,0.0,0,0.0,143,4,{},{},"{""2pl-nowait"": 60}"
