profile,strategy,policy_variant,throughput,commit_rate,committed_tasks,failed_tasks,attempts_per_task,wasted_tokens_per_task,p50_latency_s,p95_latency_s,p99_latency_s,conflict_aborts,lease_refresh_regenerations,lease_refresh_replayed_operations,lease_refresh_replayed_operations_per_task,lease_refresh_rebased_writes,lease_refresh_rebased_writes_per_task,background_commits,background_aborts,operation_policy_counts,operation_rule_counts,selected_strategy_counts
tpcc-high,2pl-nowait,default,0.0,0.0,0,60,8.0,1427184.0,0.645841409500008,8.43088150149999,8.594412913350006,480,0,0,0.0,0,0.0,4403,25,{},{},"{""2pl-nowait"": 60}"
tpcc-high,2pl-wait-die,default,0.0,0.0,0,60,8.0,1427184.0,0.6382901865000008,9.067923640250013,9.284918762389996,480,0,0,0.0,0,0.0,4817,20,{},{},"{""2pl-wait-die"": 60}"
tpcc-high,adaptive-op-strict,default,14.726042366299215,1.0,60,0,1.0,259488.0,0.3307506064999757,3.515624673299983,3.7939551467900094,0,60,5760,96.0,0,0.0,2102,88,"{""optimistic"": 3332, ""pessimistic"": 60}","{""feedback-lock-cost-optimistic"": 2387, ""tpcc-commutative-delta-optimistic-prior"": 945, ""tpcc-order-counter-risk-prior"": 60}","{""adaptive-op-strict"": 60}"
tpcc-high,mvcc-full,default,0.0,0.0,0,60,8.0,1427184.0,0.6077399060000062,8.336420991799992,8.519255136359995,480,0,0,0.0,0,0.0,4636,29,{},{},"{""mvcc-full"": 60}"
tpcc-high,occ,default,0.0,0.0,0,60,8.0,1427184.0,0.5951108645000147,8.226423771399995,8.480873526710006,480,0,0,0.0,0,0.0,5164,17,{},{},"{""occ"": 60}"
tpcc-high,silo-full,default,0.0,0.0,0,60,8.0,1427184.0,0.6101721160000011,8.64041987865,8.947030622209981,480,0,0,0.0,0,0.0,5073,45,{},{},"{""silo-full"": 60}"
tpcc-high,tictoc-full,default,0.0,0.0,0,60,8.0,1427184.0,0.6209212320000006,8.774508520199989,9.056304599269984,480,0,0,0.0,0,0.0,4740,35,{},{},"{""tictoc-full"": 60}"
tpcc-high,transaction-atcc-strict,default,40.60863787879382,1.0,60,0,1.0166666666666666,262461.3,0.1194793380000192,1.2209625653500127,1.245539628290008,1,61,5760,96.0,0,0.0,627,35,"{""optimistic"": 3332, ""pessimistic"": 60}","{""transaction-atcc-lock-hot-writes"": 3392}","{""transaction-atcc-strict"": 60}"
tpcc-low,2pl-nowait,default,6.0669210954871815,1.0,60,0,1.15,14596.2,0.6110144415000001,9.12809751355,9.242604358999998,9,0,0,0.0,0,0.0,92,0,{},{},"{""2pl-nowait"": 60}"
tpcc-low,2pl-wait-die,default,5.714414500317424,1.0,60,0,1.15,14596.2,0.7041926025000009,9.526300233249998,9.78756140845,9,0,0,0.0,0,0.0,91,0,{},{},"{""2pl-wait-die"": 60}"
