profile,strategy,throughput,commit_rate,attempts_per_task,p99_latency_s,conflict_aborts,wasted_attempts_per_task,optimistic_ops,pessimistic_ops,lock_wait_s
tpcc-high,occ,0.0,0.0,8.0,8.480873526710006,480,8.0,0,0,0.0
tpcc-high,2pl-nowait,0.0,0.0,8.0,8.594412913350006,480,8.0,0,0,0.0
tpcc-high,2pl-wait-die,0.0,0.0,8.0,9.284918762389996,480,8.0,0,0,0.0
tpcc-high,mvcc-full,0.0,0.0,8.0,8.519255136359995,480,8.0,0,0,0.0
tpcc-high,silo-full,0.0,0.0,8.0,8.947030622209981,480,8.0,0,0,0.0
tpcc-high,tictoc-full,0.0,0.0,8.0,9.056304599269984,480,8.0,0,0,0.0
tpcc-high,adaptive-op-strict,14.726042366299215,1.0,1.0,3.7939551467900094,0,0.0,3332,60,0.07978243200020074
tpcc-high,transaction-atcc-strict,40.60863787879382,1.0,1.0166666666666666,1.245539628290008,1,0.016666666666666666,3332,60,0.07679019099975903
tpcc-low,occ,7.132654252865391,1.0,1.0333333333333334,7.80021721232,2,0.03333333333333333,0,0,0.0
tpcc-low,2pl-nowait,6.0669210954871815,1.0,1.15,9.242604358999998,9,0.15,0,0,0.0
tpcc-low,2pl-wait-die,5.714414500317424,1.0,1.15,9.78756140845,9,0.15,0,0,0.0
tpcc-low,mvcc-full,5.755126980576879,1.0,1.1333333333333333,9.854469536369999,8,0.13333333333333333,0,0,0.0
tpcc-low,silo-full,5.273045843696046,1.0,1.1,10.744779564069999,6,0.1,0,0,0.0
tpcc-low,tictoc-full,5.505762617087652,1.0,1.0333333333333334,10.20370977631,2,0.03333333333333333,0,0,0.0
tpcc-low,adaptive-op-strict,3.8849398086520535,1.0,1.0,14.596867747689998,0,0.0,1850,56,1.9183699830000904
tpcc-low,transaction-atcc-strict,4.13436970438662,1.0,1.0166666666666666,13.708964903030004,1,0.016666666666666666,1856,50,0.7964823779999506
tpcc-medium,occ,5.841663640611894,0.7333333333333333,4.9,7.208075096190006,250,4.166666666666667,0,0,0.0
tpcc-medium,2pl-nowait,4.772433367947344,0.6833333333333333,5.1,8.150721880030005,265,4.416666666666667,0,0,0.0
tpcc-medium,2pl-wait-die,5.88250372584486,0.7666666666666667,4.633333333333334,7.428192527739996,232,3.8666666666666667,0,0,0.0
tpcc-medium,mvcc-full,5.303081251446017,0.7,4.85,7.4461957058599895,249,4.15,0,0,0.0
tpcc-medium,silo-full,6.449154871743611,0.8166666666666667,4.216666666666667,7.091869750240008,204,3.4,0,0,0.0
tpcc-medium,tictoc-full,7.821035373446392,0.8666666666666667,3.55,6.177028512269995,161,2.683333333333333,0,0,0.0
tpcc-medium,adaptive-op-strict,26.010958934617264,1.0,1.0166666666666666,1.9736127650100062,1,0.016666666666666666,2856,62,0.8033460359999367
tpcc-medium,transaction-atcc-strict,23.24243368980459,1.0,1.1,2.2027909674900115,6,0.1,3001,107,0.84425203200027
ycsb-high,occ,1.1040568799836834,0.13333333333333333,7.333333333333333,6.945834774509996,432,7.2,0,0,0.0
ycsb-high,2pl-nowait,0.9956101374874552,0.13333333333333333,7.466666666666667,7.676959894819998,440,7.333333333333333,0,0,0.0
ycsb-high,2pl-wait-die,0.5634175964407806,0.08333333333333333,7.783333333333333,8.69911847346999,462,7.7,0,0,0.0
ycsb-high,mvcc-full,22.910573047225306,0.9833333333333333,2.3333333333333335,2.3733482699799935,81,1.35,0,0,0.0
ycsb-high,silo-full,1.0642050434175154,0.15,7.316666666666666,8.175817024389996,430,7.166666666666667,0,0,0.0
ycsb-high,tictoc-full,27.638902844257874,0.9833333333333333,1.95,1.9314550084399997,58,0.9666666666666667,0,0,0.0
ycsb-high,adaptive-op-strict,51.50589347387173,1.0,1.0,0.9490682897299961,0,0.0,501,99,0.0010096510000323633
